Spaceship_Name,Level,HP,Damage,Armor,AttackSpeed,MoveSpeed,MaxMana,CritChance(%),CritDamage(%)
Hypergun,1,550,14,10,5.0,330,100,5,150
Hypergun,2,610,15,11,5.1,336,105,6,155
Hypergun,3,670,16,13,5.2,342,110,7,160
Hypergun,4,730,18,14,5.3,348,115,8,165
Hypergun,5,790,19,15,5.4,354,120,9,170
Hypergun,6,850,20,16,5.5,360,125,10,175
Hypergun,7,910,21,17,5.6,366,130,11,180
Hypergun,8,970,22,18,5.7,372,135,12,185
Hypergun,9,1030,23,19,5.8,378,140,13,188
Hypergun,10,1090,24,20,5.9,384,145,14,190
Hypergun,11,1150,26,21,6.0,390,150,15,195
Neutron_Gun,1,800,26,20,2.2,260,90,10,180
Neutron_Gun,2,880,29,22,2.3,264,95,11,186
Neutron_Gun,3,960,32,24,2.4,268,100,12,192
Neutron_Gun,4,1040,34,26,2.5,272,105,13,198
Neutron_Gun,5,1120,36,28,2.6,276,110,14,204
Neutron_Gun,6,1200,38,29,2.7,280,115,15,210
Neutron_Gun,7,1280,40,31,2.8,284,120,16,216
Neutron_Gun,8,1360,42,33,2.8,288,125,17,222
Neutron_Gun,9,1440,43,34,2.9,292,130,18,228
Neutron_Gun,10,1520,44,35,2.9,296,135,19,234
Neutron_Gun,11,1600,46,36,3.0,300,140,20,240
Riddler,1,520,18,8,3.8,360,85,15,150
Riddler,2,575,20,9,3.9,366,90,16,155
Riddler,3,630,22,10,4.0,372,95,17,160
Riddler,4,685,23,11,4.1,378,100,18,165
Riddler,5,740,24,12,4.2,384,105,19,170
Riddler,6,795,26,13,4.3,390,110,20,175
Riddler,7,850,27,14,4.4,396,115,21,180
Riddler,8,905,28,15,4.5,402,120,22,185
Riddler,9,960,29,15,4.7,408,125,24,190
Riddler,10,1015,30,16,4.8,414,130,26,195
Riddler,11,1070,32,17,5.0,420,135,28,200
Ion_Blaster,1,680,20,15,5.2,340,100,8,160
Ion_Blaster,2,750,22,17,5.3,346,105,9,165
Ion_Blaster,3,820,23,18,5.4,352,110,10,170
Ion_Blaster,4,890,24,19,5.4,358,115,11,175
Ion_Blaster,5,960,26,20,5.5,364,120,12,180
Ion_Blaster,6,1030,27,22,5.6,370,125,13,185
Ion_Blaster,7,1100,28,23,5.7,376,130,14,190
Ion_Blaster,8,1170,30,24,5.8,382,135,15,195
Ion_Blaster,9,1240,31,26,5.9,388,140,16,200
Ion_Blaster,10,1310,33,27,6.0,394,145,17,205
Ion_Blaster,11,1380,35,28,6.2,400,150,18,210
Utensil_Poker,1,900,26,22,3.0,275,105,10,175
Utensil_Poker,2,990,28,24,3.1,280,110,11,182
Utensil_Poker,3,1080,30,26,3.2,285,115,12,189
Utensil_Poker,4,1170,32,28,3.3,290,120,13,196
Utensil_Poker,5,1260,34,30,3.4,295,125,14,203
Utensil_Poker,6,1350,36,32,3.5,300,130,15,210
Utensil_Poker,7,1440,38,34,3.6,305,135,16,217
Utensil_Poker,8,1530,40,36,3.7,310,140,17,224
Utensil_Poker,9,1620,42,37,3.8,316,150,18,229
Utensil_Poker,10,1720,43,38,3.9,322,158,19,234
Utensil_Poker,11,1830,46,40,4.0,330,165,20,240
Lightning_Fryer,1,620,24,14,3.3,340,115,14,185
Lightning_Fryer,2,685,26,15,3.4,346,121,15,191
Lightning_Fryer,3,750,28,16,3.5,352,127,16,197
Lightning_Fryer,4,815,30,18,3.6,358,133,17,203
Lightning_Fryer,5,880,32,19,3.7,364,139,18,209
Lightning_Fryer,6,945,34,20,3.8,370,145,19,215
Lightning_Fryer,7,1010,36,22,3.9,376,151,20,221
Lightning_Fryer,8,1075,38,23,4.0,382,157,21,228
Lightning_Fryer,9,1140,39,24,4.1,388,163,23,235
Lightning_Fryer,10,1205,41,25,4.2,394,169,25,242
Lightning_Fryer,11,1270,44,27,4.3,400,176,27,250
Plasma_Rifle,1,700,22,14,5.5,350,105,10,165
Plasma_Rifle,2,770,24,15,5.6,356,110,11,170
Plasma_Rifle,3,840,26,17,5.7,362,115,12,175
Plasma_Rifle,4,910,27,18,5.8,368,120,13,180
Plasma_Rifle,5,980,29,19,5.9,374,125,14,185
Plasma_Rifle,6,1050,31,20,6.0,380,130,15,190
Plasma_Rifle,7,1120,32,22,6.1,386,135,16,195
Plasma_Rifle,8,1190,34,23,6.2,392,140,17,200
Plasma_Rifle,9,1260,35,24,6.3,398,148,18,207
Plasma_Rifle,10,1330,37,25,6.5,406,155,19,213
Plasma_Rifle,11,1400,40,27,6.7,415,162,20,220
Laser_Cannon,1,850,32,22,2.3,285,125,12,215
Laser_Cannon,2,940,35,24,2.4,290,133,13,222
Laser_Cannon,3,1030,38,26,2.5,295,141,14,229
Laser_Cannon,4,1120,40,28,2.6,300,149,15,236
Laser_Cannon,5,1210,43,30,2.7,305,157,16,243
Laser_Cannon,6,1300,46,32,2.8,310,165,17,250
Laser_Cannon,7,1390,49,34,2.9,315,173,18,257
Laser_Cannon,8,1480,52,36,3.0,320,181,19,264
Laser_Cannon,9,1570,54,38,3.1,326,189,20,271
Laser_Cannon,10,1660,56,40,3.2,332,197,21,278
Laser_Cannon,11,1750,60,42,3.3,340,207,22,290
